SYMBOL,SERIES,LAST_TRADE_DATE
ARCHIDPLY,EQ,2024-05-02
ARCHIES,EQ,2024-07-05
ARCOTECH,EQ,2020-12-16
ARE&M,EQ,2024-07-05
ARENTERP,EQ,2024-07-05
ARIES,EQ,2024-07-05
ARIHANT,EQ,2022-02-03
ARIHANTCAP,EQ,2024-07-05
ARIHANTSUP,EQ,2024-07-05
ARMANFIN,EQ,2024-07-05
AROGRANITE,EQ,2024-07-05
ARROWCOAT,EQ,2016-05-10
ARROWGREEN,EQ,2024-07-05
ARROWTEX,EQ,2020-01-01
ARSHIYA,EQ,2023-12-13
ARSSINFRA,EQ,2022-05-24
ARTEMISMED,EQ,2024-07-05
ARTNIRMAN,EQ,2024-07-05
ARVEE,EQ,2024-04-10
ARVIND,EQ,2024-07-05
ARVINDFASN,EQ,2024-07-05
ARVINFRA,EQ,2016-12-02
ARVSMART,EQ,2024-07-05
ASAHIINDIA,EQ,2024-07-05
ASAHISONG,EQ,2024-07-05
ASAL,EQ,2024-07-05
ASALCBR,EQ,2024-07-05
ASHAPURMIN,EQ,2024-07-05
ASHIANA,EQ,2024-07-05
ASHIMASYN,EQ,2024-07-05
ASHOKA,EQ,2024-07-05
ASHOKAMET,EQ,2024-07-05
ASHOKLEY,EQ,2024-07-05
ASIANENE,EQ,2024-07-05
ASIANHOTNR,EQ,2023-11-16
ASIANPAINT,EQ,2024-07-05
ASIANTILES,EQ,2024-07-05
ASIL,EQ,2017-08-02
ASKAUTOLTD,EQ,2024-07-05
ASMS,EQ,2024-07-05
ASPINWALL,EQ,2024-07-05
ASSAMCO,EQ,2019-02-27
ASTEC,EQ,2024-07-05
ASTERDM,EQ,2024-07-05
ASTRAL,EQ,2024-07-05
ASTRAMICRO,EQ,2024-07-05
ASTRAZEN,EQ,2024-07-05
ASTRON,EQ,2024-01-30
ATALREAL,EQ,2024-05-02
ATAM,EQ,2024-04-22
ATFL,EQ,2024-07-05
ATGL,EQ,2024-07-05
ATL,EQ,2024-07-05
ATLANTA,EQ,2023-12-13
ATLANTAA,EQ,2024-04-19
ATLASCYCLE,EQ,2017-01-18
ATNINTER,EQ,2017-02-01
ATUL,EQ,2024-07-05
ATULAUTO,EQ,2024-07-05
AUBANK,EQ,2024-07-05
AURIONPRO,EQ,2024-07-05
AUROPHARMA,EQ,2024-07-05
AURUM,EQ,2024-07-05
AUSOMENT,EQ,2024-05-27
AUSTRAL,EQ,2017-05-19
AUTOAXLES,EQ,2024-07-05
AUTOBEES,EQ,2024-07-05
AUTOIETF,EQ,2024-07-05
AUTOIND,EQ,2024-07-05
AUTOLITIND,EQ,2021-01-22
AVADHSUGAR,EQ,2024-07-05
AVALON,EQ,2024-07-05
AVANTIFEED,EQ,2024-07-05
AVG,EQ,2024-07-05
AVONMORE,EQ,2024-06-18
AVROIND,EQ,2024-07-05
AVTNPL,EQ,2024-07-05
AWFIS,EQ,2024-07-05
AWHCL,EQ,2024-07-05
AWL,EQ,2024-07-05
AXISBANK,EQ,2024-07-05
AXISBNKETF,EQ,2024-07-05
AXISBPSETF,EQ,2024-07-05
AXISCADES,EQ,2024-07-05
AXISCETF,EQ,2024-07-05
AXISGOLD,EQ,2024-07-05
AXISHCETF,EQ,2024-07-05
AXISILVER,EQ,2024-07-05
AXISNIFTY,EQ,2024-07-05
AXISTECETF,EQ,2024-07-05
AXITA,EQ,2024-07-05
AXSENSEX,EQ,2024-07-05
AYMSYNTEX,EQ,2024-07-05
AZAD,EQ,2024-07-05
BAFNAPH,EQ,2022-05-24
BAFNAPHARM,EQ,2019-05-31
BAGFILMS,EQ,2024-01-05
BAIDFIN,EQ,2024-07-05
BAJAJ-AUTO,EQ,2024-07-05
BAJAJCON,EQ,2024-07-05
BAJAJCORP,EQ,2019-01-14
BAJAJELEC,EQ,2024-07-05
BAJAJFINSV,EQ,2024-07-05
BAJAJHCARE,EQ,2024-07-05
BAJAJHIND,EQ,2024-07-05
BAJAJHLDNG,EQ,2024-07-05
BAJEL,EQ,2024-07-05
BAJFINANCE,EQ,2024-07-05
BALAJITELE,EQ,2024-07-05
BALAMINES,EQ,2024-07-05
BALAXI,EQ,2024-07-05
BALKRISHNA,EQ,2024-07-05
BALKRISIND,EQ,2024-07-05
BALLARPUR,EQ,2020-11-27
BALMLAWRIE,EQ,2024-07-05
BALPHARMA,EQ,2024-07-05
BALRAMCHIN,EQ,2024-07-05
BALUFORGE,EQ,2024-07-05
BANARBEADS,EQ,2024-07-05
BANARISUG,EQ,2024-07-05
BANCOINDIA,EQ,2024-07-05
BANDHANBNK,EQ,2024-07-05
BANG,EQ,2024-07-05
BANKA,EQ,2024-01-04
BANKBARODA,EQ,2024-07-05
BANKBEES,EQ,2024-07-05
BANKBETF,EQ,2024-07-05
BANKETF,EQ,2024-07-05
BANKETFADD,EQ,2024-07-05
BANKIETF,EQ,2024-07-05
BANKINDIA,EQ,2024-07-05
BANKNIFTY1,EQ,2024-07-05
BANSWRAS,EQ,2024-07-05
BARBEQUE,EQ,2024-07-05
BARTRONICS,EQ,2019-09-09
BASF,EQ,2024-07-05
BASML,EQ,2024-07-05
BATAINDIA,EQ,2024-07-05
BAYERCROP,EQ,2024-07-05
BBETF0432,EQ,2024-07-05
BBL,EQ,2024-07-05
BBNPNBETF,EQ,2024-07-05
BBNPPGOLD,EQ,2024-07-05
BBOX,EQ,2024-07-05
BBTC,EQ,2024-07-05
BBTCL,EQ,2024-07-05
BCG,EQ,2024-04-25
BCLIND,EQ,2024-07-05
BCONCEPTS,EQ,2024-07-05
BCP,EQ,2023-04-28
BDL,EQ,2024-07-05
BEARDSELL,EQ,2024-07-05
BECTORFOOD,EQ,2024-07-05
BEDMUTHA,EQ,2024-07-05
BEL,EQ,2024-07-05
BEML,EQ,2024-07-05
BEPL,EQ,2024-07-05
BERGEPAINT,EQ,2024-07-05
BESTAGRO,EQ,2024-07-05
BFINVEST,EQ,2024-07-05
BFSI,EQ,2024-07-05
BFUTILITIE,EQ,2024-07-05
BGRENERGY,EQ,2024-03-01
BHAGCHEM,EQ,2024-07-05
BHAGERIA,EQ,2024-07-05
BHAGYANGR,EQ,2024-07-05
BHAGYAPROP,EQ,2022-12-09
BHAGYNAGAR,EQ,2017-03-09
BHANDARI,EQ,2024-07-05
BHARATFIN,EQ,2019-07-02
BHARATFORG,EQ,2024-07-05
BHARATGEAR,EQ,2024-07-05
BHARATIDIL,EQ,2017-09-27
BHARATIWIN,EQ,2018-04-18
BHARATRAS,EQ,2024-07-05
BHARATWIRE,EQ,2024-07-05
BHARTIARTL,EQ,2024-07-05
BHARTIHEXA,EQ,2024-07-05
BHEL,EQ,2024-07-05
BHUSANSTL,EQ,2018-12-07
BIGBLOC,EQ,2024-07-05
BIKAJI,EQ,2024-07-05
BIL,EQ,2024-04-22
BILENERGY,EQ,2020-11-27
BILPOWER,EQ,2018-05-17
BINANIIND,EQ,2024-05-29
BINDALAGRO,EQ,2023-05-18
BIOCON,EQ,2024-07-05
BIOFILCHEM,EQ,2024-07-05
BIRLACABLE,EQ,2024-07-05
BIRLACORPN,EQ,2024-07-05
BIRLACOT,EQ,2017-03-08
BIRLAMONEY,EQ,2024-07-05
BIRLATYRE,EQ,2022-05-24
BKMINDST,EQ,2021-05-21
BLAL,EQ,2024-07-05
BLBLIMITED,EQ,2024-02-07
BLISSGVS,EQ,2024-07-05
BLKASHYAP,EQ,2024-07-05
BLS,EQ,2024-07-05
BLSE,EQ,2024-07-05
BLUEBLENDS,EQ,2019-06-17
BLUECHIP,EQ,2023-06-22
BLUECOAST,EQ,2024-02-14
BLUEDART,EQ,2024-07-05
BLUEJET,EQ,2024-07-05
BLUESTARCO,EQ,2024-07-05
BLUESTINFO,EQ,2016-06-01
BODALCHEM,EQ,2024-07-05
BOHRAIND,EQ,2023-07-12
BOMDYEING,EQ,2024-07-05
BOROLTD,EQ,2024-07-05
BORORENEW,EQ,2024-07-05
BOROSCI,EQ,2024-07-05
BOROSIL,EQ,2020-02-19
BOSCHLTD,EQ,2024-07-05
BPCL,EQ,2024-07-05
BPL,EQ,2024-07-05
BRFL,EQ,2022-04-01
BRIGADE,EQ,2024-07-05
BRITANNIA,EQ,2024-07-05
BRNL,EQ,2024-03-14
BROADCAST,EQ,2016-05-09
BROOKS,EQ,2024-03-15
BSE,EQ,2024-07-05
BSE500IETF,EQ,2024-07-05
BSELINFRA,EQ,2021-07-12
BSHSL,EQ,2024-07-05
BSL,EQ,2024-07-05
BSLGOLDETF,EQ,2024-07-05
BSLIMITED,EQ,2018-02-21
BSLNIFTY,EQ,2024-07-05
BSLSENETFG,EQ,2024-07-05
BSOFT,EQ,2024-07-05
BTML,EQ,2024-06-07
BURGERKING,EQ,2022-02-16
BURNPUR,EQ,2024-07-02
BUTTERFLY,EQ,2024-07-05
BVCL,EQ,2024-07-05
BYKE,EQ,2024-06-25
CADILAHC,EQ,2022-03-04
CAIRN,EQ,2017-04-25
CALSOFT,EQ,2024-04-22
CAMLINFINE,EQ,2024-07-05
CAMPUS,EQ,2024-07-05
CAMS,EQ,2024-07-05
CANBK,EQ,2024-07-05
CANDC,EQ,2019-02-25
CANFINHOME,EQ,2024-07-05
CANTABIL,EQ,2024-07-05
CAPACITE,EQ,2024-07-05
CAPF,EQ,2018-12-27
CAPITALSFB,EQ,2024-07-05
